ID;Canton;IPC;Posicion;NivelIPS;Poblacion;Cobertura4G;EsperanzaVida;ParticipacionElectoral
101;SAN JOSE;69.1;62;Medio alto;339581;88.23;80.26;38.9
102;ESCAZU;74.57;22;Medio alto;68050;92.95;79.34;38.9
103;DESAMPARADOS;70.75;48;Medio alto;238312;75.72;77.82;24.34
104;PURISCAL;68.34;67;Medio alto;36987;59.8;80.79;38.09
105;TARRAZU;71.92;42;Medio alto;18102;52.34;81.49;39.09
106;ASERRI;69.44;57;Medio alto;61911;54.96;79.23;28.27
107;MORA;74.33;25;Medio alto;29555;42.1;80.07;40.7
108;GOICOECHEA;74.61;21;Medio alto;134855;87.85;80.53;24.27
109;SANTA ANA;76.18;12;Alto;58159;85.23;80.87;42.79
110;ALAJUELITA;70.73;49;Medio alto;90543;82.93;77.69;30.47
111;VAZQUEZ DE CORONADO;73.71;29;Medio alto;69500;79.48;78.84;30.36
112;ACOSTA;74.48;23;Medio alto;21519;39.39;79.36;40.51
113;TIBAS;71.24;46;Medio alto;82889;83.59;79.39;24.36
114;MORAVIA;78.16;5;Alto;61542;85.3;81.41;28.96
115;MONTES DE OCA;76.9;9;Alto;61901;82.46;82.69;31.2
116;TURRUBARES;73.53;30;Medio alto;6619;17.87;85;64.32
117;DOTA;71.35;45;Medio alto;7788;0;78.32;55.34
118;CURRIDABAT;72.23;40;Medio alto;77691;86.18;81.36;32.61
119;PEREZ ZELEDON;77.39;8;Alto;142550;60.58;79.02;37.46
120;LEON CORTES;74.39;24;Medio alto;13339;0;77.68;42.83
201;ALAJUELA;72.92;36;Medio alto;302074;77.45;79.84;29.4
202;SAN RAMON;76.38;11;Alto;90793;73;81.46;37.18
203;GRECIA;73.85;27;Medio alto;90197;73.93;79.33;37.68
204;SAN MATEO;72.89;37;Medio alto;6931;65.89;83.72;61.92
205;ATENAS;72.45;39;Medio alto;28424;73.59;83.31;49.06
206;NARANJO;74.05;26;Medio alto;47267;65.71;80.56;42.42
207;PALMARES;73.33;33;Medio alto;39525;75.94;80.41;45.12
208;POAS;74.83;19;Medio alto;32583;87.22;80.78;43.35
209;OROTINA;73.05;34;Medio alto;22786;57.97;78.04;43.79
210;SAN CARLOS;72.11;41;Medio alto;191126;77.35;80.59;41.61
211;ZARCERO;75.32;15;Alto;13886;92.46;78.69;54.26
212;VALVERDE VEGA;75.03;17;Alto;21479;76.29;78.88;47.65
213;UPALA;67.4;69;Medio alto;51930;88.81;78.89;41.66
214;LOS CHILES;65.03;79;Medio alto;31546;76.54;80.22;43.35
215;GUATUSO;68.38;66;Medio alto;18541;28.84;81.25;45.87
301;CARTAGO;73.36;32;Medio alto;160457;73.11;80;35.83
302;PARAISO;75.58;14;Alto;61503;73.59;79.28;42.73
303;LA UNION;75.03;16;Alto;108990;78.83;81.58;28.55
304;JIMENEZ;72.99;35;Medio alto;16216;53.36;78.85;55.89
305;TURRIALBA;68.65;63;Medio alto;73575;73.08;80.13;36.46
306;ALVARADO;76.43;10;Alto;15092;74.73;79.63;48.37
307;OREAMUNO;69.48;56;Medio alto;48830;78.86;79.4;34.64
308;EL GUARCO;71.23;47;Medio alto;45154;67.12;79.42;39.83
401;HEREDIA;78.46;3;Alto;138562;90.24;80.91;27.47
402;BARVA;74.85;18;Medio alto;45106;76.9;80.93;35.75
403;SANTO DOMINGO;78.83;2;Alto;47672;86.84;82.43;36.11
404;SANTA BARBARA;75.76;13;Alto;41047;77.77;80.79;36.96
405;SAN RAFAEL;74.72;20;Medio alto;53197;86.07;80.68;32.48
406;SAN ISIDRO;79.91;1;Alto;22500;81.86;80.46;44.42
407;BELEN;77.4;7;Alto;25783;88.6;83.87;44.75
408;FLORES;78.08;6;Alto;24028;87.47;79.9;44.46
409;SAN PABLO;78.26;4;Alto;30586;85.5;79.83;36.93
410;SARAPIQUI;72.62;38;Medio alto;76571;40.4;79.68;38.09
501;LIBERIA;73.45;31;Medio alto;72929;80.25;76.61;31.18
502;NICOYA;69.56;55;Medio alto;54958;75.64;79.98;45.3
503;SANTA CRUZ;68.4;65;Medio alto;65345;78.38;79.42;45.9
504;BAGACES;71.61;43;Medio alto;23047;50.42;78.22;37.97
505;CARRILLO;66.54;73;Medio alto;43251;69.06;78.04;46.01
506;CA‹AS;69.38;58;Medio alto;31571;79.08;77.8;37.09
507;ABANGARES;69.84;54;Medio alto;19581;53.22;80.61;55.46
508;TILARAN;70.64;50;Medio alto;21337;45.25;80.1;56.75
509;NANDAYURE;64.85;80;Medio bajo;11675;53.52;78.26;57.77
510;LA CRUZ;67.84;68;Medio alto;25587;77.83;79.13;47.36
511;HOJANCHA;69.28;60;Medio alto;7855;44.31;81.72;63.58
601;PUNTARENAS;65.91;77;Medio alto;134400;84.55;77.77;35.36
602;ESPARZA;73.84;28;Medio alto;36547;70.75;79.38;48.42
603;BUENOS AIRES;68.55;64;Medio alto;51437;78.55;79.71;34.22
604;MONTES DE ORO;71.4;44;Medio alto;13887;54.53;77.27;65.34
605;OSA;66.92;70;Medio alto;30647;75.68;78.25;44.42
606;AGUIRRE;66.32;74;Medio alto;31631;79.09;77.93;43.47
607;GOLFITO;65.44;78;Medio alto;44055;76.65;78.95;33.75
608;COTO BRUS;70.1;53;Medio alto;44092;43.71;80.33;36.25
609;PARRITA;65.96;76;Medio alto;19079;76.11;79.1;47.69
610;CORREDORES;66.13;75;Medio alto;50690;78.77;79.76;32.32
611;GARABITO;66.78;72;Medio alto;24083;77.3;78.12;45.33
701;LIMON;69.15;61;Medio alto;98848;81.8;77.5;39.75
702;POCOCI;69.35;59;Medio alto;144339;80.75;79.73;33.38
703;SIQUIRRES;70.36;52;Medio alto;63594;64.37;79.94;38.17
704;TALAMANCA;62.84;81;Medio bajo;40681;77.33;79.18;47.99
705;MATINA;66.87;71;Medio alto;44715;79.48;78.79;50.88
706;GUACIMO;70.47;51;Medio alto;52270;80.87;79.99;34.55
