State;Filed week ended;Continued Claims;Covered Employment
Alabama;1/4/2020;18523;1923741
Alabama;1/11/2020;21143;1923741
Alabama;01/18/2020;17402;1923741
Alabama;01/25/2020;1839;1923741
Alabama;2/1/2020;17284;1923741
Alabama;2/8/2020;16745;1923741
Alabama;02/15/2020;16571;1923741
Alabama;02/22/2020;16059;1923741
Alabama;02/29/2020;14721;1923741
Alabama;3/7/2020;13657;1923741
Alabama;03/14/2020;1307;1923741
Alabama;03/21/2020;12487;1923741
Alabama;03/28/2020;18083;1923741
Alabama;4/4/2020;52176;1923741
Alabama;4/11/2020;95325;1929897
Alabama;04/18/2020;144327;1929897
Alabama;04/25/2020;173855;1929897
Alaska;1/4/2020;10177;306493
Alaska;1/11/2020;931;307329
Alaska;01/18/2020;9984;307329
Alaska;01/25/2020;9496;307329
Alaska;2/1/2020;9579;307329
Alaska;2/8/2020;9161;307329
Alaska;02/15/2020;9343;307329
Alaska;02/22/2020;8864;307329
Alaska;02/29/2020;8938;307329
Alaska;3/7/2020;8266;307329
Alaska;03/14/2020;8522;307329
Alaska;03/21/2020;8512;307329
Alaska;03/28/2020;11173;307329
Alaska;4/4/2020;19845;307329
Alaska;4/11/2020;35365;308137
Alaska;04/18/2020;48096;308137
Alaska;04/25/2020;52022;308137
Arkansas;1/4/2020;15323;1193713
Arkansas;1/11/2020;15536;1195622
Arkansas;01/18/2020;13229;1195622
Arkansas;01/25/2020;12331;1195622
Arkansas;2/1/2020;1321;1195622
Arkansas;2/8/2020;12964;1195622
Arkansas;02/15/2020;12979;1195622
Arkansas;02/22/2020;12546;1195622
Arkansas;02/29/2020;12244;1195622
Arkansas;3/7/2020;11618;1195622
Arkansas;03/14/2020;11514;1195622
Arkansas;03/21/2020;10988;1195622
Arkansas;03/28/2020;16148;1195622
Arkansas;4/4/2020;36499;1195622
Arkansas;4/11/2020;66511;1196468
Arkansas;04/18/2020;91278;1196468
Arkansas;04/25/2020;109337;1196468
Arizona;1/4/2020;17991;2864180
Arizona;1/11/2020;18259;2864180
Arizona;01/18/2020;18421;2864180
Arizona;01/25/2020;18401;2864180
Arizona;2/1/2020;18854;2864180
Arizona;2/8/2020;18461;2864180
Arizona;02/15/2020;18516;2864180
Arizona;02/22/2020;18217;2864180
Arizona;02/29/2020;18137;2864180
Arizona;3/7/2020;17593;2864180
Arizona;03/14/2020;17595;2864180
Arizona;03/21/2020;18108;2864180
Arizona;03/28/2020;26387;2864180
Arizona;4/4/2020;62597;2864180
Arizona;4/11/2020;120592;2864180
Arizona;04/18/2020;170262;2885408
Arizona;04/25/2020;196401;2885408
California;1/4/2020;359606;17203829
California;1/11/2020;356376;17265039
California;01/18/2020;376947;17265039
California;01/25/2020;336269;17265039
California;2/1/2020;388341;17265039
California;2/8/2020;359156;17265039
California;02/15/2020;375305;17265039
California;02/22/2020;349252;17265039
California;02/29/2020;369988;17265039
California;3/7/2020;378864;17265039
California;03/14/2020;351344;17265039
California;03/21/2020;421912;17265039
California;03/28/2020;400565;17265039
California;4/4/2020;1076761;17265039
California;4/11/2020;1429954;17330010
California;04/18/2020;2422458;17330010
California;04/25/2020;1887575;17330010
Colorado;1/4/2020;21391;2635231
Colorado;1/11/2020;21492;2650335
Colorado;01/18/2020;21104;2650335
Colorado;01/25/2020;22738;2650335
Colorado;2/1/2020;2156;2650335
Colorado;2/8/2020;22881;2650335
Colorado;02/15/2020;22076;2650335
Colorado;02/22/2020;23694;2650335
Colorado;02/29/2020;22409;2650335
Colorado;3/7/2020;22908;2650335
Colorado;03/14/2020;2126;2650335
Colorado;03/21/2020;21309;2650335
Colorado;03/28/2020;21956;2650335
Colorado;4/4/2020;73584;2650335
Colorado;4/11/2020;166593;2666358
Colorado;04/18/2020;171434;2666358
Colorado;04/25/2020;228713;2666358
Connecticut;1/4/2020;46562;1655540
Connecticut;1/11/2020;4754;1654391
Connecticut;01/18/2020;42483;1654391
Connecticut;01/25/2020;4176;1654391
Connecticut;2/1/2020;41725;1654391
Connecticut;2/8/2020;41633;1654391
Connecticut;02/15/2020;39384;1654391
Connecticut;02/22/2020;41691;1654391
Connecticut;02/29/2020;42168;1654391
Connecticut;3/7/2020;40638;1654391
Connecticut;03/14/2020;39786;1654391
Connecticut;03/21/2020;44194;1654391
Connecticut;03/28/2020;80861;1654391
Connecticut;4/4/2020;147939;1654391
Connecticut;4/11/2020;189196;1653302
Connecticut;04/18/2020;306047;1653302
Connecticut;04/25/2020;309111;1653302
Delaware;1/4/2020;6881;441663
Delaware;1/11/2020;7083;443288
Delaware;01/18/2020;5967;443288
Delaware;01/25/2020;5703;443288
Delaware;2/1/2020;683;443288
Delaware;2/8/2020;5888;443288
Delaware;02/15/2020;5917;443288
Delaware;02/22/2020;5921;443288
Delaware;02/29/2020;6742;443288
Delaware;3/7/2020;548;443288
Delaware;03/14/2020;531;443288
Delaware;03/21/2020;5297;443288
Delaware;03/28/2020;11506;443288
Delaware;4/4/2020;19442;443288
Delaware;4/11/2020;29577;445741
Delaware;04/18/2020;38451;445741
Delaware;04/25/2020;44977;445741
District of Columbia;1/4/2020;7198;576878
District of Columbia;1/11/2020;7102;578035
District of Columbia;01/18/2020;7271;578035
District of Columbia;01/25/2020;7149;578035
District of Columbia;2/1/2020;7139;578035
District of Columbia;2/8/2020;7156;578035
District of Columbia;02/15/2020;7079;578035
District of Columbia;02/22/2020;7003;578035
District of Columbia;02/29/2020;702;578035
District of Columbia;3/7/2020;6792;578035
District of Columbia;03/14/2020;6746;578035
District of Columbia;03/21/2020;7378;578035
District of Columbia;03/28/2020;17661;578035
District of Columbia;4/4/2020;31385;578035
District of Columbia;4/11/2020;42224;579419
District of Columbia;04/18/2020;47465;579419
District of Columbia;04/25/2020;52534;579419
